S,B,latency_ms,memory,energy,is_validation
32,1,1.8931579998024972,18763776,0.05538185255198488,False
32,2,0.9562265004205983,18874368,0.04617782026768642,False
32,4,0.9777945015230216,19095552,0.03771456500488759,False
32,8,0.5562834994634613,19537920,0.021330367074527252,False
32,16,0.47519700092379935,14843904,0.026319714964370546,False
32,32,0.668396500259405,15958016,0.03970273881095525,False
32,64,0.7443595004588133,18186240,0.05105431547619048,False
32,128,2.043930500803981,59342848,0.14100000000000001,False
32,256,3.9657545003137784,103669760,0.27284584980237153,False
32,65,0.8681640010763658,18255872,0.04826822916666666,True
32,70,1.2866459983342793,38626304,0.08891773778920307,True
32,78,1.3742405008088099,42409984,0.09473626373626375,True
64,1,0.6586390009033494,23969792,0.03168268597761685,False
64,2,0.7562445007351926,24117248,0.03615419501133787,False
64,4,0.7206670015875716,24903680,0.03980187319884726,False
64,8,0.5364080006984295,17793536,0.030412332439678284,False
64,16,0.5583210004260764,19497472,0.031133928571428573,False
64,32,0.8379174996662186,22642688,0.05767671691792295,False
64,64,1.3276520003273617,32210944,0.09951193633952254,False
64,128,4.746272999909706,76644352,0.3253838862559242,False
64,256,9.25115850259317,138272768,0.6305871559633027,False
64,65,1.460964000216336,32342016,0.09975328467153285,True
64,70,2.6147669996134937,48088064,0.17923498694516973,True
64,78,2.856269498806796,52953088,0.19513390313390314,True
128,1,0.6553785005962709,24412160,0.0441775884665793,False
128,2,0.7454110000253422,17794048,0.03846646795827124,False
128,4,0.6653070013271645,19497984,0.04082114361702128,False
128,8,0.8834559994284064,22642688,0.06089840989399293,False
128,16,1.2992114989174297,32210944,0.09744805194805195,False
128,32,2.915394499723334,49381376,0.1978343023255814,False
128,64,5.49245050024183,119316480,0.37174316939890706,False
128,128,15.630595999027719,223518720,1.06334375,False
128,256,31.316983000579057,431923200,2.14159375,False
128,65,5.86512649897486,136519680,0.3978187134502924,True
128,70,9.132495999438106,141303808,0.6164727272727273,True
128,78,9.731606998684583,144187392,0.660378640776699,True
224,1,0.7046690006973222,18699776,0.046638028169014085,False
224,2,0.7064229994284688,21308928,0.04788559322033898,False
224,4,1.1425150005379692,27377664,0.07781849315068493,False
224,8,2.1762955002486706,41025536,0.16225652173913044,False
224,16,4.455565500393277,68780032,0.30359111111111114,False
224,32,8.816128500257037,174673920,0.599842105263158,False
224,64,16.848742501679226,335904768,1.1382833333333333,False
224,128,50.57979000048363,655458304,3.4659500000000003,False
224,256,105.83917899930384,1292992512,7.462300000000001,False
224,65,18.24119449884165,387948544,1.2377818181818183,True
224,70,29.454709501806065,396451840,2.0026176470588233,True
224,78,32.1715240006597,410918912,2.126,True
256,1,0.6116109998401953,19499008,0.032825794621026895,False
256,2,0.7346444999711821,22906880,0.054423641703377386,False
256,4,1.3996569996379549,32210944,0.10376923076923077,False
256,8,3.014690999407321,49381376,0.20227409638554217,False
256,16,5.680303000190179,119316480,0.38253672316384185,False
256,32,10.99199099917314,223518720,0.7458461538461538,False
256,64,21.739277499364107,431923200,1.6172173913043477,False
256,128,65.07964299817104,848732160,4.234625,False
256,256,132.91799600119703,1683062784,8.7933,False
256,65,23.739789501632913,501784576,1.5734651162790698,True
256,70,38.24411399909877,513581056,2.498925925925926,True
256,78,41.963413499615854,532455424,2.8210833333333336,True
384,1,0.9566154985805042,23822336,0.05762715105162524,False
384,2,1.7522465022921097,33783808,0.11635901926444835,False
384,4,3.260337998653995,53837824,0.21976221498371334,False
384,8,6.911790998856304,95125504,0.46366896551724135,False
384,16,13.05101499929151,227639296,0.8732337662337663,False
384,32,25.823076499364106,436260864,1.7310769230769232,False
384,64,51.011792000281275,857407488,3.36195,False
384,128,154.60522499779472,1699840000,10.0595,False
384,256,319.30714050031384,3384287232,21.375700000000002,False
384,65,56.96815749979578,989599744,3.708611111111111,True
384,70,91.99167500082694,1015420928,6.071727272727273,True
384,78,101.23998200106143,1058543616,7.3484,True
512,1,1.5572454994980944,32210944,0.11244012441679628,False
512,2,3.095456999290036,49381376,0.20510185185185187,False
512,4,6.309723499725806,85032960,0.4185283018867925,False
512,8,12.67551650016685,156336128,0.9241645569620254,False
512,16,24.05045650084503,399734784,1.5827380952380952,False
512,32,48.68917650128424,784355328,3.160285714285714,False
512,64,100.74805449949054,1553596416,6.654300000000001,False
512,128,303.0704414995853,3092348928,20.5201,False
512,256,633.9955780003947,6169042944,41.4037,False
512,65,110.8352265018766,1798406144,7.2144,True
512,70,177.59854050018475,1844543488,11.216800000000001,True
512,78,190.51748099991528,1920040960,12.569700000000001,True
48,1,0.6485605008492712,14255616,0.029491569390402074,True
48,2,0.5513404994417215,14043136,0.02722436604189636,True
48,4,0.5364859989640536,14356480,0.02896030042918455,True
48,8,0.5724934981117258,14983168,0.03120950200343446,True
48,16,0.5332259988790611,16236544,0.03204264392324094,True
48,32,0.7233084998006234,18743296,0.04780332610267534,True
48,64,1.2084049994882662,23822336,0.07957729468599034,True
48,128,3.244987499783747,66551808,0.21367961165048543,True
48,256,6.788321499698213,118087680,0.4484932432432432,True
48,65,1.3444340002024546,23913472,0.08813037634408602,True
48,70,1.8666034993657377,42568704,0.12258768656716416,True
48,78,2.0690609999292064,46802944,0.13651652892561983,True
112,1,0.7428025000990601,24273920,0.04728433556050483,True
112,2,0.7608135019836482,24725504,0.04603954372623574,True
112,4,1.0282475013809744,18698752,0.03410483042137718,True
112,8,0.8286434986075619,20553728,0.05477879038939519,True
112,16,1.23861149950244,27377664,0.09005693069306932,True
112,32,2.643507499669795,41025536,0.1739656992084433,True
112,64,5.4221595000853995,68780032,0.3570378378378379,True
112,128,17.673943499175948,205824000,1.1686491228070175,True
112,256,36.1320265019458,396533760,2.3648571428571428,True
112,65,5.4653824990964495,69482496,0.36175956284153005,True
112,70,9.400648501468822,74107904,0.6194485981308412,True
112,78,10.293688999809092,82935808,0.6767346938775509,True
448,1,1.2987725003767991,27377664,0.0933805194805195,True
448,2,2.5117469995166175,41025536,0.16446365914786967,True
448,4,5.1423790009721415,68780032,0.3395076923076923,True
448,8,10.492530498595443,123961344,0.6885,True
448,16,20.07351550128078,307247104,1.32244,True
448,32,40.35550550179323,598855680,2.64832,True
448,64,80.74835749903286,1180499968,5.597769230769231,True
448,128,242.35545349984022,2343788544,16.515,True
448,256,503.0891385013092,4672462848,32.9259,True
448,65,87.27449500111106,1364367360,5.4928333333333335,True
448,70,143.34299250003824,1399134208,9.9075,True
448,78,157.49317949848773,1457559552,9.9072,True
496,1,1.710416998321307,30458880,0.11177435897435899,True
496,2,3.233823501432198,48472064,0.19154516129032256,True
496,4,6.583239501196658,82452480,0.39152631578947367,True
496,8,13.355708997551119,148594688,0.8840666666666668,True
496,16,25.22234349999053,361955328,1.6431,True
496,32,49.995976500213146,706084864,3.145142857142857,True
496,64,101.17485500086332,1396342784,6.5863,True
496,128,302.0479039987549,2776866816,19.846700000000002,True
496,256,609.1842604982958,5539667968,40.2956,True
496,65,106.0000384986779,1609668608,6.6044,True
496,70,173.12814750039252,1654513664,11.2581,True
496,78,190.00946099913563,1724174336,12.573,True
